,model,region,scenario,unit,variable,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
32,IMAGE,World,ssp119,kt HFC125 / yr,Emissions|HFC125,78.7906,165.015,33.3406,18.2386,20.6879,22.3156,24.045,25.5229,26.0886,24.9023
33,IMAGE,World,ssp119,kt HFC134a / yr,Emissions|HFC134a,201.953,249.567,31.2569,13.9191,14.7522,15.154,16.066,17.4072,18.5388,18.3662
34,IMAGE,World,ssp119,kt HFC143a / yr,Emissions|HFC143a,32.381,60.1003,11.9486,6.778,7.841,8.5067,9.3192,9.9967,10.2095,9.7449
35,IMAGE,World,ssp119,kt HFC152a / yr,Emissions|HFC152a,55.8814,59.2958,5.5,2.02,1.889,1.7578,1.6983,1.6923,1.6744,1.5612
36,IMAGE,World,ssp119,kt HFC227ea / yr,Emissions|HFC227ea,3.6633,5.3005,0.7965,0.368,0.3839,0.3617,0.3453,0.3348,0.3198,0.2879
37,IMAGE,World,ssp119,kt HFC23 / yr,Emissions|HFC23,14.4857,2.5166,0.0828,0.023,0.0118,0.0063,0.0033,0.0017,0.0008,0.0
38,IMAGE,World,ssp119,kt HFC236fa / yr,Emissions|HFC236fa,0.2604,0.4482,0.088,0.0504,0.0601,0.0675,0.0755,0.0827,0.0872,0.0852
39,IMAGE,World,ssp119,kt HFC245fa / yr,Emissions|HFC245fa,11.7285,20.189,3.9614,2.2718,2.7079,3.0424,3.399,3.7244,3.9292,3.8389
40,IMAGE,World,ssp119,kt HFC32 / yr,Emissions|HFC32,38.5792,6.7024,0.2205,0.0613,0.0314,0.0168,0.0088,0.0045,0.0021,0.0
41,IMAGE,World,ssp119,kt HFC365mfc / yr,Emissions|HFC365mfc,4.6492,5.7454,0.7195,0.3204,0.3396,0.3489,0.3698,0.4007,0.4268,0.4228
42,IMAGE,World,ssp119,kt HFC4310mee / yr,Emissions|HFC4310mee,1.1516,1.222,0.1133,0.0416,0.0389,0.0362,0.035,0.0349,0.0345,0.0322
43,IMAGE,World,ssp119,kt Halon1202 / yr,Emissions|Halon1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,IMAGE,World,ssp119,kt Halon1211 / yr,Emissions|Halon1211,3.2933,2.1847,0.9614,0.4231,0.1862,0.0819,0.0361,0.0159,0.007,0.008
45,IMAGE,World,ssp119,kt Halon1301 / yr,Emissions|Halon1301,1.3378,1.1071,0.7583,0.5193,0.3557,0.2436,0.1668,0.1143,0.0783,0.0536
46,IMAGE,World,ssp119,kt Halon2402 / yr,Emissions|Halon2402,0.3481,0.279,0.1793,0.1153,0.0741,0.0476,0.0306,0.0197,0.0126,0.0081
47,IMAGE,World,ssp119,kt N2O / yr,Emissions|N2O,10900.0,10706.4,8393.76,8376.57,8073.59,7941.61,7958.15,7978.92,8204.74,8339.07
48,IMAGE,World,ssp119,kt NF3 / yr,Emissions|NF3,1.3581,1.1172,0.5234,0.458,0.3759,0.3273,0.2813,0.233,0.1931,0.1519
49,IMAGE,World,ssp119,kt SF6 / yr,Emissions|SF6,8.02,6.5973,3.0909,2.7046,2.2198,1.9331,1.6611,1.3755,1.14,0.8968
50,IMAGE,World,ssp119,kt SO2F2 / yr,Emissions|SO2F2,2.5317,2.9068,0.9592,0.7381,0.5359,0.4318,0.3772,0.332,0.2737,0.2154
51,IMAGE,World,ssp119,kt cC4F8 / yr,Emissions|cC4F8,1.2672,1.455,0.48,0.3694,0.2683,0.2163,0.1887,0.1663,0.137,0.1077
