,model,region,scenario,unit,variable,Year,Emissions
450,REMIND-MAGPIE,World,ssp585,kt HFC143a / yr,Emissions|HFC143a,2050,200.97
451,REMIND-MAGPIE,World,ssp585,kt HFC152a / yr,Emissions|HFC152a,2050,48.4031
452,REMIND-MAGPIE,World,ssp585,kt HFC227ea / yr,Emissions|HFC227ea,2050,9.8399
453,REMIND-MAGPIE,World,ssp585,kt HFC23 / yr,Emissions|HFC23,2050,0.3014
454,REMIND-MAGPIE,World,ssp585,kt HFC236fa / yr,Emissions|HFC236fa,2050,1.5409
455,REMIND-MAGPIE,World,ssp585,kt HFC245fa / yr,Emissions|HFC245fa,2050,69.4033
456,REMIND-MAGPIE,World,ssp585,kt HFC32 / yr,Emissions|HFC32,2050,0.8027
457,REMIND-MAGPIE,World,ssp585,kt HFC365mfc / yr,Emissions|HFC365mfc,2050,8.7045
458,REMIND-MAGPIE,World,ssp585,kt HFC4310mee / yr,Emissions|HFC4310mee,2050,0.9975
459,REMIND-MAGPIE,World,ssp585,kt Halon1202 / yr,Emissions|Halon1202,2050,0.0
460,REMIND-MAGPIE,World,ssp585,kt Halon1211 / yr,Emissions|Halon1211,2050,0.1862
461,REMIND-MAGPIE,World,ssp585,kt Halon1301 / yr,Emissions|Halon1301,2050,0.3557
462,REMIND-MAGPIE,World,ssp585,kt Halon2402 / yr,Emissions|Halon2402,2050,0.0741
463,REMIND-MAGPIE,World,ssp585,kt N2O / yr,Emissions|N2O,2050,13171.3
464,REMIND-MAGPIE,World,ssp585,kt NF3 / yr,Emissions|NF3,2050,1.8154
465,REMIND-MAGPIE,World,ssp585,kt SF6 / yr,Emissions|SF6,2050,10.7207
466,REMIND-MAGPIE,World,ssp585,kt SO2F2 / yr,Emissions|SO2F2,2050,1.8304
467,REMIND-MAGPIE,World,ssp585,kt cC4F8 / yr,Emissions|cC4F8,2050,0.9162
520,REMIND-MAGPIE,World,ssp585,Mt BC / yr,Emissions|BC,2060,6.5697
521,REMIND-MAGPIE,World,ssp585,Mt CH4 / yr,Emissions|CH4,2060,597.91
522,REMIND-MAGPIE,World,ssp585,Mt CO / yr,Emissions|CO,2060,675.591
523,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,2060,139.396
524,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,2060,100199.0
525,REMIND-MAGPIE,World,ssp585,Mt NH3 / yr,Emissions|NH3,2060,83.3963
526,REMIND-MAGPIE,World,ssp585,Mt NOx / yr,Emissions|NOx,2060,164.962
527,REMIND-MAGPIE,World,ssp585,Mt OC / yr,Emissions|OC,2060,19.7663
528,REMIND-MAGPIE,World,ssp585,Mt SO2 / yr,Emissions|Sulfur,2060,63.8658
529,REMIND-MAGPIE,World,ssp585,Mt VOC / yr,Emissions|VOC,2060,207.515
530,REMIND-MAGPIE,World,ssp585,kt C2F6 / yr,Emissions|C2F6,2060,0.4947
531,REMIND-MAGPIE,World,ssp585,kt C3F8 / yr,Emissions|C3F8,2060,0.1411
532,REMIND-MAGPIE,World,ssp585,kt C4F10 / yr,Emissions|C4F10,2060,0.0313
